id	plan	departamento	area	curso	semestre	mencion	horarioID	examenID	nombre	siglas
21714001	1714	C139	650	1	2	NULL	21714001	21714001	Organización y Gestión de Empresas	OGE
21714001	1725	C139	650	2	1	NULL	21714001	21714001	Organización y Gestión de Empresas	OGE
21714002	1714	C146	265	1	2	NULL	21714002	21714002	Estadística	EST
21714002	1725	C146	265	1	2	NULL	21714002	21714002	Estadística	EST
21714003	1714	C140	250	1	1	NULL	21714003	21714003	Fundamentos Físicos y Electrónicos de la Informática	FFE
21714003	1725	C140	250	1	2	NULL	21714003	21714003	Fundamentos Físicos y Electrónicos de la Informática	FFE
21714004	1714	C140	35	1	2	NULL	21714004	21714004	Fundamentos de Estructura de Computadores	FEC
21714004	1725	C140	35	1	2	NULL	21714004	21714004	Fundamentos de Estructura de Computadores	FEC
21714005	1714	C137	570	1	1	NULL	21714005	21714005	Informática General	IG
21714005	1725	C137	570	1	1	NULL	21714005	21714005	Informática General	IG
21714006	1714	C137	570	1	1	NULL	21714006	21714006	Introducción a la Programación	IP
21714006	1725	C137	570	1	1	NULL	21714006	21714006	Introducción a la Programación	IP
21714007	1714	C137	570	1	2	NULL	21714007	21714007	Metodología de la Programación	MP
21714007	1725	C137	570	1	2	NULL	21714007	21714007	Metodología de la Programación	MP
21714008	1714	C101	595	1	2	NULL	21714008	21714008	Álgebra	ALG
21714008	1725	C101	595	1	2	NULL	21714008	21714008	Álgebra	ALG
21714009	1714	C101	595	1	1	NULL	21714009	21714009	Cálculo	CAL
21714009	1725	C101	595	1	1	NULL	21714009	21714009	Cálculo	CAL
21714010	1714	C101	595	1	1	NULL	21714010	21714010	Matemática Discreta	MD
21714010	1725	C101	595	1	1	NULL	21714010	21714010	Matemática Discreta	MD
21714011	1714	C137	570	2	2	NULL	21714011	21714011	Bases de Datos	BD
21714011	1725	C137	570	2	2	NULL	21714011	21714011	Bases de Datos	BD
21714012	1714	C137	570	2	2	NULL	21714012	21714012	Ingeniería del Software	IS
21714012	1725	C137	570	2	2	NULL	21714012	21714012	Ingeniería del Software	IS
21714013	1714	C137	570	2	1	NULL	21714013	21714013	Inteligencia Artificial	IA
21714013	1725	C137	570	3	1	NULL	21714013	21714013	Inteligencia Artificial	IA
21714014	1714	C137	570	2	1	NULL	21714014	21714014	Análisis de Algoritmos y Estructura de Datos	AAED
